stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,Class
22,8203,9991,2.7,3.3,2.37,0
22,10000,7947,1.57,3.5,5.75,1
22,9994,9999,1.66,3.4,5,1
22,9998,8571,2.1,3.3,3.2,0
22,9985,4049,1.22,5.75,10,1
22,9996,10001,2.4,3.3,2.7,0
23,10001,8342,2.7,3.2,2.45,0
23,8635,9985,2.25,3.2,3,1
23,9999,9998,2.1,3.25,3.25,1
23,4049,10000,3,3.2,2.2,2
23,8571,9986,2.1,3.4,3.1,0
23,9984,9994,1.8,3.4,4,0
23,7947,8203,2.3,3.2,2.87,2
23,9987,9996,1.4,4.5,8,0
23,9991,9993,1.66,3.4,5,2
24,9996,8635,5.75,3.75,1.55,0
24,8203,9987,3,3.4,2.3,1
24,9986,9998,2,3.4,3.4,1
24,9985,9984,1.44,3.75,7.5,1
24,9994,9991,2.62,3.25,2.45,2
24,8342,9999,1.36,4.5,6.5,1
24,9993,8571,1.66,3.75,4.75,1
24,7947,4049,1.85,3.3,4,1
24,10000,10001,2,3.25,3.5,0
25,9984,8342,2.8,3.2,2.37,2
25,9998,9985,6.5,3.6,1.57,2
25,8635,10000,1.4,4.5,8,1
25,8571,9994,2.4,3.1,3.1,2
25,9987,7947,1.4,4.5,8,1
25,10001,8203,1.8,3.4,4.2,2
25,9999,9996,1.85,3.6,4,1
25,9991,4049,1.28,5.5,9.5,1
25,9986,9993,2.5,3.25,2.8,0
26,8203,8635,4.5,3.6,1.75,1
26,9985,9987,1.57,3.5,6,1
26,9993,9998,,,,1
26,9994,9986,2.1,3.25,3.6,0
26,7947,9984,2.88,3.4,2.38,1
26,8342,9991,1.8,3.4,4,2
26,10000,9999,1.75,3.5,4.75,0
26,9996,8571,2.7,3.25,2.62,1
26,4049,10001,4.33,3.6,1.8,2
27,8571,8342,3.75,3.3,2,2
27,9986,9985,4.75,3.5,1.66,1
27,9991,10000,1.65,3.6,4.75,1
27,9998,9994,2.25,3.2,3,2
27,10001,7947,1.57,3.75,5.25,1
27,9999,8203,2.2,3.3,3,1
27,9984,9996,1.57,3.75,5.25,2
27,9987,4049,1.22,5.5,11,1
27,8635,9993,1.4,4,7,1
28,9994,8635,5,3.6,1.6,0
28,9996,9998,1.9,3.3,4.2,1
28,8342,9986,1.5,4,7,1
28,10000,9984,2,3.4,3.6,1
28,7947,9991,4.75,3.6,1.72,0
28,4049,9999,3.1,3.3,2.3,2
28,8203,8571,1.85,3.5,4.2,0
28,9987,10001,1.66,3.6,5.25,2
28,9985,9993,1.36,4.33,7.5,1
29,8635,8342,1.67,3.5,5,1
29,9999,9987,3.2,3.25,2.25,1
29,9993,10000,1.91,3.5,4,2
29,9985,9994,1.33,4.75,10,1
29,8571,7947,2,3.3,3.8,2
29,9998,8203,2.25,3.3,3.2,2
29,9986,9996,1.95,3.4,3.8,1
29,9984,4049,1.4,4.5,8,1
29,9991,10001,1.8,3.3,4.2,1
3,8635,8571,1.29,4.75,9,1
3,9987,9994,1.62,3.4,5.5,1
3,9984,9998,1.7,3.25,4.75,1
3,9991,9986,1.62,3.5,5,1
3,7947,9996,2.5,3.3,2.5,2
3,8203,10000,2,3.4,3.25,2
3,9999,9985,5.5,3.6,1.57,0
3,4049,8342,7,3.75,1.53,2
3,10001,9993,2.25,3.3,2.8,1
30,10001,8635,4.5,3.5,1.73,2
30,9996,9985,6,3.75,1.57,2
30,8342,9998,1.29,5.25,9.5,1
30,4049,9986,4.33,3.5,1.83,1
30,8203,9984,2.38,3.25,3,2
30,9987,9991,2.62,3.3,2.62,0
30,7947,9999,2.38,3.3,2.62,1
30,10000,8571,1.73,3.4,5,1
30,9994,9993,2.38,3.25,3,1
31,9993,8342,2.6,3.2,2.75,1
31,9984,9987,,,,2
31,9986,10000,2.1,3.3,3.2,1
31,9999,9991,3.2,3.3,2.1,2
31,8635,7947,1.14,6,15,1
31,9985,8203,1.18,6,13,1
31,9994,9996,1.8,3.3,4.2,1
31,8571,4049,1.5,3.8,6,0
31,9998,10001,3.4,3.2,2.05,2
32,4049,8635,11,6,1.2,0
32,10000,9985,5.5,3.6,1.57,0
32,7947,9998,1.44,4,6.5,0
32,8203,9986,2.3,3.25,2.87,1
32,9991,9984,1.36,4.33,7.5,1
32,8342,9994,1.44,4.2,7,2
32,10001,9999,1.57,3.6,5.5,1
32,9987,8571,1.4,4,7.5,2
32,9996,9993,2.6,3.25,2.5,1
33,9985,8342,1.44,4.33,7,1
33,9986,9987,2.25,3.3,3.2,1
33,9996,10000,2.38,3.3,3,2
33,8571,9991,4,3.75,1.83,2
33,9994,7947,1.73,3.6,4.75,2
33,9993,8203,1.91,3.5,4,1
33,8635,9999,1.14,7.5,19,1
33,9998,4049,2.05,3.5,3.5,0
33,9984,10001,2.62,3.3,2.62,1
34,9987,8635,8,4,1.4,2
34,9991,9985,4.33,3.8,1.67,2
34,10000,9998,1.33,4.33,8.5,1
34,7947,9986,1.53,3.8,5.75,2
34,9999,9984,2.6,3.25,2.5,2
34,8203,9994,2,3.3,3.8,1
34,8342,9996,1.44,3.75,7.5,1
34,10001,8571,1.91,3.6,3.4,2
34,4049,9993,3.75,3.25,1.95,1
4,8342,7947,1.2,5.25,12,0
4,9985,8571,1.17,6,10,1
4,9998,8635,5.75,3.75,1.5,2
4,10000,9987,2.88,3.1,2.38,2
4,9986,9984,2.6,3.1,2.55,1
4,9994,10001,2.2,3.1,3,0
4,8203,4049,1.5,3.6,6,0
4,9996,9991,2.88,3.1,2.25,1
4,9993,9999,1.5,3.5,6.5,1
5,8635,9986,1.4,4.33,8,1
5,9987,8342,2.5,3.2,2.62,2
5,9984,9993,2,3.25,3.5,1
5,9991,8203,1.36,4.33,7.5,2
5,7947,10000,2.38,3.25,2.75,1
5,9999,9994,2.25,3.25,2.88,2
5,8571,9998,2.1,3.25,3.25,1
5,4049,9985,6.5,4,1.44,2
5,10001,9996,2.2,3.25,3,0
6,8342,10001,1.44,4.2,7.5,1
6,9985,8635,2.1,3.4,3.4,1
6,9998,9999,1.8,3.5,4.5,1
6,10000,4049,1.55,4,6,1
6,9986,8571,1.62,3.75,5.5,2
6,9994,9984,2.75,3.3,2.5,0
6,8203,7947,1.73,3.6,4.75,1
6,9996,9987,2.35,3.3,3,2
6,9993,9991,2.25,3.3,3.1,0
7,8635,9996,1.44,4.33,6.5,1
7,9987,8203,1.44,4.33,6.5,1
7,9998,9986,2.25,3.3,3.1,0
7,9984,9985,3.3,3.2,2.2,1
7,9991,9994,1.62,3.6,5,0
7,9999,8342,6,3.8,1.57,2
7,8571,9993,2.62,3.25,2.62,0
7,4049,7947,2.4,3.25,2.88,1
7,10001,10000,1.85,3.4,4.33,1
8,8342,9984,1.75,3.5,4.75,1
8,9985,9998,1.2,5.5,13,1
8,10000,8635,4.75,3.5,1.75,1
8,9994,8571,1.95,3.3,3.5,1
8,7947,9987,4,3.4,1.91,2
8,8203,10001,2.2,3.25,3,2
8,9996,9999,1.53,3.6,6,1
8,4049,9991,5.5,3.6,1.57,2
8,9993,9986,1.91,3.4,3.75,2
9,8635,8203,1.29,5.25,10,1
9,9987,9985,2.9,3.3,2.4,0
9,9998,9993,,,,0
9,9986,9994,2.1,3.3,3.5,0
9,9984,7947,1.44,4.2,7.5,2
9,9991,8342,2.8,3.3,2.5,1
9,9999,10000,2.75,3.3,2.5,2
9,8571,9996,2.4,3.3,2.9,0
9,10001,4049,1.44,4.2,7.5,1
1,9985,9997,1.22,6,13,0
1,9986,8342,2.5,3.25,2.6,2
1,9984,9991,2.88,3.3,2.25,2
1,9994,10000,2.3,3.3,2.88,0
1,8571,8635,5.75,3.6,1.57,2
1,8203,10001,2.3,3.3,2.8,1
1,9999,9993,2.9,3.3,2.25,0
10,8342,8635,2.5,3.25,2.6,1
10,9985,9987,1.5,3.75,6.5,1
10,9997,10000,2.5,3.4,2.7,2
10,9986,8571,1.85,3.5,4.2,0
10,8203,9994,1.91,3.3,4.2,1
10,9999,9984,3.1,3.4,2.25,1
10,9993,10001,1.73,3.5,5,1
11,8342,9991,1.7,3.4,4.75,1
11,8635,9986,1.29,5,9,1
11,9987,8203,1.85,3.3,4,2
11,10000,9993,1.91,3.3,3.8,1
11,9994,9984,2.1,3.2,3.3,0
11,8571,9999,1.67,3.4,5,1
11,10001,9985,5.5,3.5,1.6,1
12,9985,10000,1.5,4,7,0
12,9997,9991,3.25,3.3,2.2,2
12,9986,10001,2.25,3.3,3.2,0
12,9984,8571,1.83,3.6,4.2,0
12,9994,9987,2.4,3.3,2.9,2
12,8203,8635,3.4,3.4,2.1,2
12,9999,8342,7,4.33,1.44,2
13,8342,9997,1.25,5.25,12,1
13,8635,9994,1.29,5,11,1
13,9987,9984,1.73,3.6,4.75,1
13,10000,9986,1.73,3.5,4.33,0
13,9991,9993,1.7,3.6,5,2
13,8571,8203,2.5,3.25,2.8,1
13,10001,9999,1.4,4.33,8,0
14,9985,8342,2.2,3.3,3.25,1
14,9987,8635,3.4,3.4,2.1,2
14,9986,9991,3,3.4,2.3,2
14,9984,10001,2.1,3.4,3.4,1
14,9994,8571,2,3.4,3.75,0
14,9999,10000,3.75,3.6,1.91,1
14,9993,9997,1.6,3.75,5.75,1
15,8342,9993,1.5,4.2,6.25,2
15,8635,9999,1.17,7,15,1
15,9997,9984,2.5,3.25,2.8,0
15,10000,8203,1.8,3.6,4.33,1
15,9991,9985,2.9,3.3,2.4,1
15,8571,9987,2.9,3.3,2.4,1
15,10001,9994,2.1,3.3,3.5,1
16,8342,9986,1.3,5,10,1
16,8635,8571,1.25,5.75,11,1
16,9997,9985,5,3.5,1.73,1
16,10000,9994,1.62,3.6,5.75,1
16,9991,9984,1.62,3.6,5.75,1
16,10001,8203,2.05,3.3,3.6,1
16,9993,9999,1.36,4.75,8,1
17,9985,9993,1.95,3.3,4,0
17,9987,10001,1.85,3.5,4.2,0
17,9986,9997,2.3,3.3,3.1,0
17,9984,8635,5.25,3.6,1.67,2
17,9994,8342,4.75,3.6,1.73,2
17,8571,10000,2.5,3.3,2.75,1
17,8203,9991,2.9,3.3,2.4,2
18,8342,8203,1.36,4.5,9,0
18,9985,9999,1.25,5.5,12,2
18,9997,8571,2.25,3.3,3.2,2
18,10000,9984,1.73,3.6,4.75,1
18,9991,9987,1.8,3.6,4.33,1
18,10001,8635,5,3.6,1.7,2
18,9993,9986,1.44,4.33,7,0
19,8635,8342,1.73,3.6,4.75,1
19,9987,10000,2.2,3.3,3.25,0
19,9986,9985,3.5,3.3,2.1,2
19,9994,9991,3.6,3.5,2,2
19,8571,10001,2,3.4,3.75,0
19,8203,9993,2.4,3.25,2.9,1
19,9999,9997,2.5,3.25,2.8,2
2,8342,9994,1.5,3.6,7,1
2,8635,9984,1.3,5,10,1
2,9997,9986,2.1,3.3,3.5,0
2,10000,9987,2.2,3.3,3.25,0
2,9991,8203,1.44,3.75,7.5,1
2,10001,8571,1.75,3.5,4.75,0
2,9993,9985,3.6,3.3,2,0
20,8342,9984,1.44,4.2,7.5,1
20,9985,9994,1.5,3.9,7,1
20,9997,8203,2.1,3.3,3.5,1
20,10000,10001,1.8,3.5,4.5,1
20,9986,9999,1.75,3.5,4.75,1
20,9991,8635,3.1,3.3,2.3,0
20,9993,9987,1.73,3.5,4.5,1
21,8635,10000,1.4,4.5,8,1
21,9987,9997,1.83,3.6,4.2,0
21,9984,9985,3.5,3.3,2.1,1
21,9994,9993,2.9,3.25,2.4,1
21,8571,8342,3.75,3.4,2,2
21,8203,9986,2.5,3.3,2.75,1
21,9999,9991,5,3.75,1.67,2
22,8342,10001,1.44,4.5,7,1
22,9985,8635,3,3.25,2.38,2
22,9997,9994,2.15,3.25,3.4,1
22,9986,9987,2.8,3.25,2.5,2
22,9991,8571,1.5,4,7,0
22,9999,8203,2.8,3.25,2.5,2
22,9993,9984,1.7,3.6,5,2
23,9987,8342,2.88,3.3,2.3,1
23,10000,9997,1.73,3.6,4.33,1
23,9984,9986,1.91,3.4,3.75,1
23,9994,9999,1.53,3.75,6,2
23,8571,9993,2.6,3.25,2.5,1
23,8203,9985,3,3.3,2.2,0
23,10001,9991,3.4,3.4,2,0
24,9985,8571,1.67,3.6,5.25,1
24,9997,10001,2.2,3.25,3.25,2
24,9986,9994,2.4,3.2,3,1
24,9991,10000,1.67,3.75,5,2
24,8203,9984,2.25,3.4,3.1,2
24,9999,9987,3.75,3.4,1.91,0
24,9993,8635,4.5,3.5,1.8,2
25,8635,9997,1.22,5.75,13,2
25,9987,9985,2.4,3.4,2.8,1
25,10000,8342,2.8,3.4,2.4,0
25,9984,9999,1.65,3.75,5.25,1
25,9994,8203,2.25,3.3,3.2,1
25,8571,9986,2,3.4,3.7,1
25,10001,9993,2.3,3.4,3,0
26,9985,10001,1.44,4.33,7,1
26,9986,8635,6.5,4,1.5,2
26,9984,9994,2.1,3.4,3.4,1
26,9991,8342,2.38,3.25,3,0
26,8203,9987,2.75,3.3,2.5,1
26,9999,8571,2.63,3.25,2.7,2
26,9993,10000,2.35,3.4,2.9,0
27,8342,9985,2,3.4,3.75,1
27,8635,8203,1.25,5.25,13,1
27,9987,9994,1.57,3.8,6,1
27,10000,9999,1.44,4.2,7.5,0
27,9991,9997,1.62,3.75,5.5,2
27,8571,9984,2.25,3.4,3.1,1
27,10001,9986,2.1,3.4,3.4,1
28,9997,8342,3.75,3.4,2,0
28,9986,10000,2.9,3.3,2.4,0
28,9984,9987,2.5,3.25,2.8,1
28,9994,10001,2,3.4,3.75,1
28,8203,8571,2.15,3.3,3.4,0
28,9999,8635,8,4.5,1.4,2
28,9993,9991,3,3.4,2.3,0
29,8342,9999,1.3,5,10,1
29,8635,9987,1.4,4.5,8,1
29,9997,9993,2.2,3.25,3.3,1
29,10000,9985,2.5,3.2,2.88,0
29,9991,9986,1.53,3.8,6.5,1
29,8571,9994,1.85,3.5,4.2,1
29,10001,9984,2.5,3.25,2.8,1
3,8635,10001,1.29,5.5,10,1
